"organization","slug","dataset","resource","url","operations","columns","fact"
"SAGARPA","sagarpa","Apoyos otorgados en 2013 SAGARPA","Apoyos de la Cruzada contra el Hambre, 2013","http://busca.datos.gob.mx/#/conjuntos/apoyos-otorgados-en-2013-sagarpa","Procedimiento en Bash","F","Durante el 2013 se registraron 1,565 apoyos al proyecto ""Preveneción y Manejo de Riesgos"""
"SAGARPA","sagarpa","Estadística de Producción Agrícola. SIAP","Estadística de la Producción Agrícola 2013.","http://busca.datos.gob.mx/#/conjuntos/estadistica-de-produccion-agricola-siap","Procedimiento en Bash","","En el 2013 se registró una producción agrícola con valor aproximado de 12,723,000 MXN"
"SAGARPA","sagarpa","Estadística de Producción Agrícola. SIAP","Estadística de la Producción Agrícola 2013.","http://busca.datos.gob.mx/#/conjuntos/estadistica-de-produccion-agricola-siap","Procedimiento en Bash","J","En el 2013 el mayor número de registros de cultivos fue por ""Maíz grano"" con 5,003 registros seguido del ""Frijol"" con 3,681 registros"
"SAGARPA","sagarpa","Pescadores capacitados en materia de seguridad de la vida humana en el mar 2014","Capacitados en seguridad de la vida humana en el mar 2014.csv","http://busca.datos.gob.mx/#/conjuntos/pescadores-capacitados-en-materia-de-seguridad-de-la-vida-humana-en-el-mar-2014","Tabla","A,D,F","En 2014, existían 5,559 pescadores capacitados en materia de seguridad de la vida humana en el mar en México. Sonora es el estado que más pescadores con estas características tiene (1,283
)"
"SAGARPA","sagarpa","Población beneficiada bajo diversas acciones suscritas al Programa Integral de Desarrollo Rural. INCA Rural","Resultados del Programa Integral de Desarrollo Rural de CDICV, OSC y PIIEX","http://busca.datos.gob.mx/#/conjuntos/poblacion-beneficiada-bajo-diversas-acciones-suscritas-al-programa-integral-de-desarrollo-rural-inca-rural","Tabla","B,H","75,982 personas han resultado beneficiadas de las diversas acciones suscritas al Programa Integral de Desarrollo Rural. El estado con mayor número de beneficiados es Puebla, con un total de 10,707."
"SALUD","salud","Consultas Médicas del Hospital General de México ""Dr. Eduardo Liceaga""","Consultas Otorgadas 2014","http://busca.datos.gob.mx/#/conjuntos/consultas-medicas-del-hospital-general-de-mexico-dr-eduardo-liceaga","tabla","A,D","Durante el 2014, se otorgaron 705,125 consultas por parte de las especialidades médicas del Hospital ""Dr. Eduardo Liceaga"", 705,125 fueron a mujeres y 235,928 a hombres"
"SALUD","salud","Nacimientos ocurridos","Registro de Nacimientos 2008","http://busca.datos.gob.mx/#/conjuntos/nacimientos-ocurridos","Procedimiento en Bash","AA","Se registraron, mediante la Secretaría de salud, un total de 1'980,369 nacimientos en 2008; de ellos, 1'008,379 fueron hombres y 971,990, mujeres."
"SALUD","salud","Recursos en salud","Recursos en Salud 2014","http://busca.datos.gob.mx/#/conjuntos/recursos-en-salud","Procedimiento en Bash","AH","Se registraron un total de 31,087 individuos de personal técnico en el 2014."
"SALUD","salud","Recursos en salud","Recursos en Salud 2014","http://busca.datos.gob.mx/#/conjuntos/recursos-en-salud","Procedimiento en Bash","","Se registraron un total de 11,869 medicos generales en el 2014."
"SALUD","salud","Indicadores ODS","Tasa de mortalidad por cáncer de mama, 1990 – 2013","http://busca.datos.gob.mx/#/conjuntos/indicadores-ods","Tabla","A,C","De 20112 a 2013, se redujeron el número de muertes por cáncer de mama de 11,166 a 10,810
"
"SALUD","salud","Indicadores ODS","Porcentaje de población con carencia por acceso a los servicios de salud, 2008 – 2012","http://busca.datos.gob.mx/#/conjuntos/indicadores-ods","Tabla","A,C","El porcentaje de población con carencia por acceso a los servicios de salud se redujo de 35.05% a sólo 19.48% entre 2008 y 2012."
"SCT","sct","Infraestructura Carretera","Clasificación de Carreteras","http://busca.datos.gob.mx/#/conjuntos/infraestructura-carretera","tabla","E","El total de longitud de las carreteras clasificadas de Jurisdicción Federal en México es 73,989.79 kilómetros."
"SCT","sct","Infraestructura Carretera","Tarifas Vigentes de las Vías Federales de Cuota","http://busca.datos.gob.mx/#/conjuntos/infraestructura-carretera","tabla","A,E","Entre el 2012 y el 2014, la tarifa más barata en carreteras federales se registró con un costo (con IVA) de $2.00 en la carretera Lago de Guadalupe - Ent. San Miguel"
